wl_home,season,days_between_games_home,avg_min_home,avg_fgm_home,avg_fga_home,avg_3pm_home,avg_3pa_home,avg_ftm_home,avg_fta_home,avg_oreb_home,avg_dreb_home,avg_treb_home,avg_ast_home,avg_stl_home,avg_blk_home,avg_tov_home,avg_pf_home,avg_pts_home,avg_plus_minus_home,avg_3pm_diff_home,avg_ftm_diff_home,avg_reb_diff_home,avg_win_home,avg_fg_pct_home,avg_3p_pct_home,avg_ft_pct_home,avg_true_pct_home,days_between_games_away,avg_min_away,avg_fgm_away,avg_fga_away,avg_3pm_away,avg_3pa_away,avg_ftm_away,avg_fta_away,avg_oreb_away,avg_dreb_away,avg_treb_away,avg_ast_away,avg_stl_away,avg_blk_away,avg_tov_away,avg_pf_away,avg_pts_away,avg_plus_minus_away,avg_3pm_diff_away,avg_ftm_diff_away,avg_reb_diff_away,avg_win_away,avg_fg_pct_away,avg_3p_pct_away,avg_ft_pct_away,avg_true_pct_away
1,2019,2,240.0,35.0,88.0,8.0,28.0,20.0,24.0,9.0,38.0,47.0,21.0,3.0,9.0,14.0,32.0,98.0,-9.0,0.0,-13.0,-9.0,0.0,0.3977272727272727,0.2857142857142857,0.8333333333333334,0.4971590909090909,3,240.0,33.0,91.0,10.0,37.0,24.0,37.0,16.0,29.0,45.0,21.0,12.0,6.0,15.0,21.0,100.0,-8.0,3.0,7.0,-13.0,0.0,0.3626373626373626,0.2702702702702703,0.6486486486486487,0.46607009694258017
1,2019,2,240.0,40.0,82.0,5.0,27.0,15.0,22.0,5.0,34.0,39.0,28.0,9.0,5.0,19.0,23.0,100.0,-3.0,-1.0,-4.0,-7.0,0.0,0.4878048780487805,0.18518518518518517,0.6818181818181818,0.5453752181500873,2,240.0,45.0,99.0,12.0,33.0,24.0,31.0,10.0,36.0,46.0,21.0,12.0,6.0,16.0,23.0,126.0,19.0,2.0,9.0,1.0,1.0,0.45454545454545453,0.36363636363636365,0.7741935483870968,0.5593039772727273
1,2019,2,240.0,39.0,91.0,6.0,19.0,24.0,27.0,14.0,32.0,46.0,20.0,9.0,2.0,11.0,27.0,108.0,-4.0,-5.0,3.0,-6.0,0.0,0.42857142857142855,0.3157894736842105,0.8888888888888888,0.5248833592534993,2,240.0,34.0,85.0,7.0,19.0,29.0,39.0,14.0,35.0,49.0,17.0,4.0,0.0,16.0,25.0,104.0,-12.0,-7.0,17.0,6.0,0.0,0.4,0.3684210526315789,0.7435897435897436,0.5090054815974941
0,2019,2,240.0,39.0,94.0,7.0,25.0,19.0,31.0,14.0,37.0,51.0,20.0,7.0,7.0,12.0,25.0,104.0,3.0,-2.0,3.0,-1.0,1.0,0.4148936170212766,0.28,0.6129032258064516,0.4830917874396135,2,240.0,41.0,92.0,16.0,38.0,14.0,22.0,9.0,32.0,41.0,21.0,8.0,9.0,11.0,19.0,112.0,-1.0,2.0,-1.0,-16.0,0.0,0.44565217391304346,0.42105263157894735,0.6363636363636364,0.5507474429583005
1,2019,2,240.0,42.0,85.0,14.0,34.0,15.0,20.0,11.0,46.0,57.0,26.0,5.0,4.0,21.0,25.0,113.0,1.0,-2.0,1.0,16.0,1.0,0.49411764705882355,0.4117647058823529,0.75,0.6023454157782516,2,240.0,47.0,83.0,10.0,26.0,7.0,13.0,13.0,44.0,57.0,29.0,2.0,7.0,20.0,24.0,111.0,28.0,0.0,-16.0,29.0,1.0,0.5662650602409639,0.38461538461538464,0.5384615384615384,0.6255635707844905
1,2019,2,240.0,45.0,92.0,14.0,33.0,12.0,20.0,8.0,35.0,43.0,21.0,6.0,7.0,10.0,29.0,116.0,12.0,7.0,-17.0,-6.0,1.0,0.4891304347826087,0.42424242424242425,0.6,0.5753968253968255,3,240.0,42.0,97.0,11.0,37.0,10.0,14.0,12.0,43.0,55.0,21.0,7.0,5.0,15.0,20.0,105.0,18.0,6.0,-4.0,8.0,1.0,0.4329896907216495,0.2972972972972973,0.7142857142857143,0.5089181853431562
0,2019,2,240.0,41.0,79.0,13.0,27.0,28.0,38.0,5.0,39.0,44.0,21.0,8.0,4.0,17.0,19.0,123.0,6.0,6.0,16.0,7.0,1.0,0.5189873417721519,0.48148148148148145,0.7368421052631579,0.6424989552862516,3,240.0,42.0,95.0,7.0,26.0,17.0,18.0,17.0,41.0,58.0,28.0,7.0,7.0,21.0,29.0,108.0,8.0,-3.0,-7.0,13.0,1.0,0.4421052631578947,0.2692307692307692,0.9444444444444444,0.5246793626117373
1,2019,2,240.0,25.0,84.0,10.0,29.0,23.0,28.0,7.0,21.0,28.0,16.0,11.0,3.0,10.0,18.0,83.0,-28.0,-0.0,16.0,-29.0,0.0,0.2976190476190476,0.3448275862068966,0.8214285714285714,0.43085548172757476,2,240.0,41.0,90.0,10.0,36.0,15.0,18.0,7.0,38.0,45.0,19.0,7.0,3.0,24.0,30.0,107.0,-19.0,-2.0,-9.0,-1.0,0.0,0.45555555555555555,0.2777777777777778,0.8333333333333334,0.5463643790849673
1,2019,2,240.0,52.0,98.0,10.0,25.0,17.0,22.0,14.0,40.0,54.0,36.0,8.0,3.0,12.0,25.0,131.0,19.0,-6.0,-1.0,17.0,1.0,0.5306122448979592,0.4,0.7727272727272727,0.6082838038632986,2,240.0,49.0,95.0,7.0,19.0,12.0,18.0,5.0,32.0,37.0,17.0,8.0,3.0,9.0,27.0,117.0,-6.0,-6.0,-16.0,-7.0,0.0,0.5157894736842106,0.3684210526315789,0.6666666666666666,0.568402642829382
0,2019,2,240.0,38.0,97.0,10.5,34.0,20.5,28.0,18.0,35.5,53.5,20.5,5.0,5.0,18.0,27.0,107.0,-1.0,3.5,-3.5,8.0,0.5,0.3917525773195876,0.3088235294117647,0.7321428571428571,0.48938894987193565,1,240.0,42.0,92.0,16.5,38.0,15.5,21.0,10.5,37.5,48.0,26.5,7.0,6.5,13.5,18.0,116.0,15.5,6.5,3.0,-2.5,0.5,0.45652173913043476,0.4342105263157895,0.7380952380952381,0.5728960885025682
